Voltage(V),Current(A),Temperature(C),Previous SOC(%),SOC(%)
7.66,0.86,97.17,45.38,45.23
7.65,0.1,97.17,45.23,45.23
7.51,2.44,97.32,45.23,45.23
7.51,1.04,97.17,45.23,45.09
7.46,4.55,97.17,45.09,45.09
7.65,0.13,97.32,45.09,45.09
7.04,0.12,97.17,45.09,44.95
7.45,1.25,97.46,44.95,44.95
7.52,0.89,97.46,44.95,44.95
7.45,1.31,97.32,44.95,44.95
7.26,0.14,97.46,44.95,44.81
7.42,1.23,97.17,44.81,44.81
7.59,1.31,97.17,44.81,44.81
7.65,0.14,97.32,44.81,44.66
7.47,1.48,97.46,44.66,44.52
7.65,0.12,97.46,44.52,44.52
7.62,0.15,97.46,44.52,44.38
7.61,2.35,97.61,44.38,44.38
7.39,1.39,97.46,44.38,44.38
7.65,0.1,97.32,44.38,44.24
7.44,1.35,97.61,44.24,44.24
7.64,0.18,97.61,44.24,44.24
7.6,0.52,97.75,44.24,44.1
7.45,1.33,97.46,44.1,43.95
7.44,1.39,97.75,43.95,43.95
7.49,1.03,97.46,43.95,43.81
7.54,0.88,97.32,43.81,43.81
